timestamp_utc,mmsi,ship_name,ship_type,latitude,longitude,sog_knots,cog_deg,heading_deg,nav_status
2026-05-03T08:10:17.463509+00:00,563000002,YL CHARLIE,60,1.239409,103.800105,0.26,159.4,266,1
2026-05-03T08:11:17.463509+00:00,563000002,YL CHARLIE,60,1.241166,103.801486,0.1,5.1,204,1
2026-05-03T08:12:17.463509+00:00,563000002,YL CHARLIE,60,1.241681,103.803028,0.28,220.3,170,1
2026-05-03T08:13:17.463509+00:00,563000002,YL CHARLIE,60,1.241317,103.804908,0.1,68.8,290,1
2026-05-03T08:14:17.463509+00:00,563000002,YL CHARLIE,60,1.242829,103.804841,7.33,195.5,46,0
2026-05-03T08:15:17.463509+00:00,563000002,YL CHARLIE,60,1.242418,103.80696,6.48,335.8,55,0
2026-05-03T08:16:17.463509+00:00,563000002,YL CHARLIE,60,1.242916,103.807583,7.81,119.8,276,0
2026-05-03T08:17:17.463509+00:00,563000002,YL CHARLIE,60,1.244488,103.809817,7.22,103.6,46,0
2026-05-03T08:18:17.463509+00:00,563000002,YL CHARLIE,60,1.244214,103.811262,9.58,104.5,96,0
2026-05-03T08:19:17.463509+00:00,563000002,YL CHARLIE,60,1.244066,103.813463,10.93,93.6,35,0
2026-05-03T08:20:17.463509+00:00,563000002,YL CHARLIE,60,1.246071,103.814642,6.54,332.4,41,0
2026-05-03T08:21:17.463509+00:00,563000002,YL CHARLIE,60,1.246957,103.815359,11.39,140.9,268,0
2026-05-03T08:22:17.463509+00:00,563000002,YL CHARLIE,60,1.24729,103.817366,7.65,322.2,301,0
2026-05-03T08:23:17.463509+00:00,563000002,YL CHARLIE,60,1.247061,103.817606,10.95,177.4,328,0
2026-05-03T08:24:17.463509+00:00,563000002,YL CHARLIE,60,1.248612,103.820031,11.98,29.7,313,0
2026-05-03T08:25:17.463509+00:00,563000002,YL CHARLIE,60,1.248507,103.820504,6.69,68.5,8,0
2026-05-03T08:26:17.463509+00:00,563000002,YL CHARLIE,60,1.248123,103.821663,10.39,286.0,170,0
2026-05-03T08:27:17.463509+00:00,563000002,YL CHARLIE,60,1.248569,103.824177,8.56,307.9,112,0
2026-05-03T08:28:17.463509+00:00,563000002,YL CHARLIE,60,1.250148,103.82582,6.27,192.3,348,0
2026-05-03T08:29:17.463509+00:00,563000002,YL CHARLIE,60,1.249804,103.825766,6.44,298.8,61,0
2026-05-03T08:30:17.463509+00:00,563000002,YL CHARLIE,60,1.250851,103.828739,8.35,13.1,11,0
2026-05-03T08:31:17.463509+00:00,563000002,YL CHARLIE,60,1.252608,103.829603,7.17,172.5,31,0
2026-05-03T08:32:17.463509+00:00,563000002,YL CHARLIE,60,1.251268,103.830407,11.62,36.5,133,0
2026-05-03T08:33:17.463509+00:00,563000002,YL CHARLIE,60,1.251922,103.831547,6.42,157.0,31,0
2026-05-03T08:34:17.463509+00:00,563000002,YL CHARLIE,60,1.252412,103.832535,9.02,355.8,102,0
2026-05-03T08:35:17.463509+00:00,563000002,YL CHARLIE,60,1.254698,103.834663,7.56,324.8,291,0
2026-05-03T08:36:17.463509+00:00,563000002,YL CHARLIE,60,1.25479,103.837044,7.02,20.9,346,0
2026-05-03T08:37:17.463509+00:00,563000002,YL CHARLIE,60,1.254324,103.837559,6.95,42.2,226,0
2026-05-03T08:38:17.463509+00:00,563000002,YL CHARLIE,60,1.254582,103.839251,9.99,324.0,260,0
2026-05-03T08:39:17.463509+00:00,563000002,YL CHARLIE,60,1.256409,103.840055,11.51,236.7,78,0
2026-05-03T08:40:17.463509+00:00,563000002,YL CHARLIE,60,1.255692,103.84215,9.36,120.9,23,0
2026-05-03T08:41:17.463509+00:00,563000002,YL CHARLIE,60,1.256492,103.84358,9.27,173.5,312,0
2026-05-03T08:42:17.463509+00:00,563000002,YL CHARLIE,60,1.257496,103.845338,7.73,228.1,317,0
2026-05-03T08:43:17.463509+00:00,563000002,YL CHARLIE,60,1.257954,103.84633,0.05,298.4,41,1
2026-05-03T08:44:17.463509+00:00,563000002,YL CHARLIE,60,1.258274,103.846891,0.0,86.2,326,1
2026-05-03T08:45:17.463509+00:00,563000002,YL CHARLIE,60,1.259865,103.848959,0.18,314.8,16,1
2026-05-03T08:46:17.463509+00:00,563000002,YL CHARLIE,60,1.260404,103.849836,0.16,238.4,23,1
2026-05-03T08:17:17.463509+00:00,563000001,YL BRAVO,60,1.239128,103.800403,0.07,160.7,249,1
2026-05-03T08:18:17.463509+00:00,563000001,YL BRAVO,60,1.240734,103.800316,0.36,14.0,166,1
2026-05-03T08:19:17.463509+00:00,563000001,YL BRAVO,60,1.240986,103.80325,0.12,315.0,212,1
2026-05-03T08:20:17.463509+00:00,563000001,YL BRAVO,60,1.242578,103.804214,0.08,30.0,66,1
2026-05-03T08:21:17.463509+00:00,563000001,YL BRAVO,60,1.241909,103.80562,11.92,113.8,109,0
2026-05-03T08:22:17.463509+00:00,563000001,YL BRAVO,60,1.243141,103.807539,6.09,243.3,313,0
2026-05-03T08:23:17.463509+00:00,563000001,YL BRAVO,60,1.242396,103.808193,6.59,314.5,143,0
2026-05-03T08:24:17.463509+00:00,563000001,YL BRAVO,60,1.243049,103.809162,10.13,332.2,321,0
2026-05-03T08:25:17.463509+00:00,563000001,YL BRAVO,60,1.24376,103.810432,6.49,285.2,131,0
2026-05-03T08:26:17.463509+00:00,563000001,YL BRAVO,60,1.244779,103.812144,6.8,124.9,79,0
2026-05-03T08:27:17.463509+00:00,563000001,YL BRAVO,60,1.2443,103.812239,7.67,245.2,285,0
2026-05-03T08:28:17.463509+00:00,563000001,YL BRAVO,60,1.245523,103.814609,7.89,305.8,359,0
2026-05-03T08:29:17.463509+00:00,563000001,YL BRAVO,60,1.246305,103.816078,9.65,165.1,222,0
2026-05-03T08:30:17.463509+00:00,563000001,YL BRAVO,60,1.246918,103.816521,8.23,211.4,4,0
2026-05-03T08:31:17.463509+00:00,563000001,YL BRAVO,60,1.246911,103.818096,6.83,132.2,47,0
2026-05-03T08:32:17.463509+00:00,563000001,YL BRAVO,60,1.248136,103.818819,8.03,59.0,298,0
2026-05-03T08:33:17.463509+00:00,563000001,YL BRAVO,60,1.248211,103.82115,7.74,105.6,244,0
2026-05-03T08:34:17.463509+00:00,563000001,YL BRAVO,60,1.249815,103.821984,10.38,308.5,36,0
2026-05-03T08:35:17.463509+00:00,563000001,YL BRAVO,60,1.250145,103.823283,7.82,39.1,287,0
2026-05-03T08:36:17.463509+00:00,563000001,YL BRAVO,60,1.249948,103.825682,11.45,351.4,175,0
2026-05-03T08:37:17.463509+00:00,563000001,YL BRAVO,60,1.249758,103.826311,6.75,13.6,171,0
2026-05-03T08:38:17.463509+00:00,563000001,YL BRAVO,60,1.251841,103.828471,10.41,225.6,192,0
2026-05-03T08:39:17.463509+00:00,563000001,YL BRAVO,60,1.252562,103.828121,10.84,290.8,101,0
2026-05-03T08:40:17.463509+00:00,563000001,YL BRAVO,60,1.251228,103.829279,10.5,141.8,265,0
2026-05-03T08:41:17.463509+00:00,563000001,YL BRAVO,60,1.253472,103.832156,7.74,257.2,111,0
2026-05-03T08:42:17.463509+00:00,563000001,YL BRAVO,60,1.252895,103.833872,8.54,93.9,85,0
2026-05-03T08:43:17.463509+00:00,563000001,YL BRAVO,60,1.253401,103.833338,8.59,310.9,359,0
2026-05-03T08:44:17.463509+00:00,563000001,YL BRAVO,60,1.254262,103.836031,6.17,72.6,254,0
2026-05-03T08:45:17.463509+00:00,563000001,YL BRAVO,60,1.254151,103.835926,8.39,341.3,110,0
2026-05-03T08:46:17.463509+00:00,563000001,YL BRAVO,60,1.254472,103.838075,9.74,130.2,77,0
2026-05-03T08:47:17.463509+00:00,563000001,YL BRAVO,60,1.255982,103.839449,6.63,203.0,326,0
2026-05-03T08:48:17.463509+00:00,563000001,YL BRAVO,60,1.257071,103.84078,10.08,330.1,165,0
2026-05-03T08:49:17.463509+00:00,563000001,YL BRAVO,60,1.257838,103.842375,11.0,314.9,277,0
2026-05-03T08:50:17.463509+00:00,563000001,YL BRAVO,60,1.256806,103.843101,9.66,346.5,162,0
2026-05-03T08:51:17.463509+00:00,563000001,YL BRAVO,60,1.256966,103.844034,10.91,92.5,79,0
2026-05-03T08:52:17.463509+00:00,563000001,YL BRAVO,60,1.258587,103.846489,0.34,290.5,33,1
2026-05-03T08:53:17.463509+00:00,563000001,YL BRAVO,60,1.25898,103.848199,0.32,23.9,66,1
2026-05-03T08:54:17.463509+00:00,563000001,YL BRAVO,60,1.258504,103.849372,0.02,119.0,82,1
2026-05-03T08:55:17.463509+00:00,563000001,YL BRAVO,60,1.260737,103.849921,0.32,133.7,195,1
2026-05-03T09:25:17.463509+00:00,563000000,YL ALPHA,60,1.240005,103.800148,0.36,244.3,265,1
2026-05-03T09:26:17.463509+00:00,563000000,YL ALPHA,60,1.241214,103.801075,0.3,326.1,105,1
2026-05-03T09:27:17.463509+00:00,563000000,YL ALPHA,60,1.241267,103.800998,0.12,350.1,198,1
2026-05-03T09:28:17.463509+00:00,563000000,YL ALPHA,60,1.240165,103.802474,0.24,7.4,0,1
2026-05-03T09:29:17.463509+00:00,563000000,YL ALPHA,60,1.240535,103.802466,0.3,119.8,252,1
2026-05-03T09:30:17.463509+00:00,563000000,YL ALPHA,60,1.242049,103.802513,0.34,146.9,196,1
2026-05-03T09:31:17.463509+00:00,563000000,YL ALPHA,60,1.241677,103.802743,0.02,103.4,171,1
2026-05-03T09:32:17.463509+00:00,563000000,YL ALPHA,60,1.2407,103.803905,0.02,177.1,308,1
2026-05-03T09:33:17.463509+00:00,563000000,YL ALPHA,60,1.242208,103.803954,0.29,355.2,210,1
2026-05-03T09:34:17.463509+00:00,563000000,YL ALPHA,60,1.242026,103.80515,6.21,36.5,77,0
2026-05-03T09:35:17.463509+00:00,563000000,YL ALPHA,60,1.242522,103.805079,6.12,116.6,358,0
2026-05-03T09:36:17.463509+00:00,563000000,YL ALPHA,60,1.242251,103.806162,9.29,279.5,251,0
2026-05-03T09:37:17.463509+00:00,563000000,YL ALPHA,60,1.241911,103.807378,6.67,221.2,172,0
2026-05-03T09:38:17.463509+00:00,563000000,YL ALPHA,60,1.243962,103.807985,9.9,106.7,65,0
2026-05-03T09:39:17.463509+00:00,563000000,YL ALPHA,60,1.243031,103.807727,11.75,268.5,348,0
2026-05-03T09:40:17.463509+00:00,563000000,YL ALPHA,60,1.242731,103.809442,11.9,358.5,19,0
2026-05-03T09:41:17.463509+00:00,563000000,YL ALPHA,60,1.24361,103.809816,10.69,164.0,323,0
2026-05-03T09:42:17.463509+00:00,563000000,YL ALPHA,60,1.243043,103.810752,6.45,175.0,13,0
2026-05-03T09:43:17.463509+00:00,563000000,YL ALPHA,60,1.244519,103.810609,11.67,77.8,47,0
2026-05-03T09:44:17.463509+00:00,563000000,YL ALPHA,60,1.245188,103.811301,10.66,180.9,268,0
2026-05-03T09:45:17.463509+00:00,563000000,YL ALPHA,60,1.244262,103.810855,8.52,153.3,289,0
2026-05-03T09:46:17.463509+00:00,563000000,YL ALPHA,60,1.244052,103.811419,8.53,22.7,212,0
2026-05-03T09:47:17.463509+00:00,563000000,YL ALPHA,60,1.245585,103.811852,10.64,160.8,351,0
2026-05-03T09:48:17.463509+00:00,563000000,YL ALPHA,60,1.245342,103.8141,8.5,116.8,129,0
2026-05-03T09:49:17.463509+00:00,563000000,YL ALPHA,60,1.244722,103.813672,6.47,10.6,178,0
2026-05-03T09:50:17.463509+00:00,563000000,YL ALPHA,60,1.246474,103.813996,7.07,131.7,305,0
2026-05-03T09:51:17.463509+00:00,563000000,YL ALPHA,60,1.245462,103.814526,11.36,242.6,63,0
2026-05-03T09:52:17.463509+00:00,563000000,YL ALPHA,60,1.245866,103.816077,10.49,335.8,119,0
2026-05-03T09:53:17.463509+00:00,563000000,YL ALPHA,60,1.245886,103.815504,11.16,124.0,132,0
2026-05-03T09:54:17.463509+00:00,563000000,YL ALPHA,60,1.247677,103.816585,6.78,170.4,149,0
2026-05-03T09:55:17.463509+00:00,563000000,YL ALPHA,60,1.247734,103.817548,7.78,117.7,303,0
2026-05-03T09:56:17.463509+00:00,563000000,YL ALPHA,60,1.246414,103.818185,11.96,56.3,75,0
2026-05-03T09:57:17.463509+00:00,563000000,YL ALPHA,60,1.248051,103.818236,11.67,87.4,94,0
2026-05-03T09:58:17.463509+00:00,563000000,YL ALPHA,60,1.247514,103.818279,7.75,47.6,10,0
2026-05-03T09:59:17.463509+00:00,563000000,YL ALPHA,60,1.248311,103.819031,8.36,107.8,213,0
2026-05-03T10:00:17.463509+00:00,563000000,YL ALPHA,60,1.247424,103.820193,10.45,229.3,43,0
2026-05-03T10:01:17.463509+00:00,563000000,YL ALPHA,60,1.248638,103.821204,7.49,190.5,192,0
2026-05-03T10:02:17.463509+00:00,563000000,YL ALPHA,60,1.248439,103.821968,8.45,115.4,104,0
2026-05-03T10:03:17.463509+00:00,563000000,YL ALPHA,60,1.249742,103.821275,8.23,66.8,55,0
2026-05-03T10:04:17.463509+00:00,563000000,YL ALPHA,60,1.249186,103.823051,7.66,286.4,228,0
2026-05-03T10:05:17.463509+00:00,563000000,YL ALPHA,60,1.248673,103.823099,11.57,62.9,232,0
2026-05-03T10:06:17.463509+00:00,563000000,YL ALPHA,60,1.249582,103.823548,8.04,227.3,44,0
2026-05-03T10:07:17.463509+00:00,563000000,YL ALPHA,60,1.249175,103.823422,8.9,251.6,316,0
2026-05-03T10:08:17.463509+00:00,563000000,YL ALPHA,60,1.249437,103.824229,8.77,352.4,154,0
2026-05-03T10:09:17.463509+00:00,563000000,YL ALPHA,60,1.249545,103.825994,9.27,169.7,347,0
2026-05-03T10:10:17.463509+00:00,563000000,YL ALPHA,60,1.251387,103.82625,8.99,145.9,323,0
2026-05-03T10:11:17.463509+00:00,563000000,YL ALPHA,60,1.249939,103.827512,11.9,14.6,131,0
2026-05-03T10:12:17.463509+00:00,563000000,YL ALPHA,60,1.251711,103.827746,8.39,160.1,129,0
2026-05-03T10:13:17.463509+00:00,563000000,YL ALPHA,60,1.251905,103.828252,8.12,70.6,43,0
2026-05-03T10:14:17.463509+00:00,563000000,YL ALPHA,60,1.25198,103.8281,6.21,122.4,271,0
2026-05-03T10:15:17.463509+00:00,563000000,YL ALPHA,60,1.252409,103.829594,11.16,24.5,148,0
2026-05-03T10:16:17.463509+00:00,563000000,YL ALPHA,60,1.251129,103.829697,7.7,75.7,53,0
2026-05-03T10:17:17.463509+00:00,563000000,YL ALPHA,60,1.252362,103.830039,8.46,280.3,142,0
2026-05-03T10:18:17.463509+00:00,563000000,YL ALPHA,60,1.252069,103.831072,7.75,56.5,356,0
2026-05-03T10:19:17.463509+00:00,563000000,YL ALPHA,60,1.252361,103.831331,6.72,201.5,153,0
2026-05-03T10:20:17.463509+00:00,563000000,YL ALPHA,60,1.252736,103.831807,8.12,171.6,355,0
2026-05-03T10:21:17.463509+00:00,563000000,YL ALPHA,60,1.253009,103.833475,9.01,159.8,73,0
